Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.0,0.2605346857368915,-0.05643277163914629,0.14129053360489374,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.01,0.28795938949866956,-0.028216385819573146,0.12009695356415967,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.02,0.34280879702222566,-0.05643277163914629,0.11303242688391499,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.03,0.3702335007840037,-0.12697373618807914,0.1059679002036703,0.015729562771242236,-0.7737819130269484,-0.6267680754937616
0.04,0.4182267323671153,-0.14108192909786574,0.1554195869653831,0.015729562771242236,-0.7737819130269484,-0.6296681012913036
0.05,0.43879526018844883,-0.19046060428211872,0.1059679002036703,0.018589483275104457,-0.7737819130269484,-0.6267680754937616
0.06,0.39080202860533725,-0.1551901220076523,0.12009695356415967,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.07,0.30852791732000306,-0.2045687971919053,0.12009695356415967,0.018589483275104457,-0.7766201777239753,-0.6238680496962196
0.08,0.22625380603466894,-0.2821638581957315,0.1624841136456278,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.09,0.25367850979644696,-0.2539474723761583,0.19074222036660654,0.018589483275104457,-0.7766201777239753,-0.6296681012913036
0.1,0.2605346857368915,-0.22573108655658516,0.1695486403258725,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.11,0.23996615791555795,-0.18340650782722545,0.19780674704685122,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.12,0.25367850979644696,-0.09170325391361273,0.13422600692464906,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.13,0.30167174137955854,-0.07759506100382615,0.1695486403258725,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.14,0.3153840932604476,-0.07054096454893287,0.1059679002036703,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.15,0.294815565439114,0.0,0.14129053360489374,0.018589483275104457,-0.7766201777239753,-0.6296681012913036
0.16,0.28795938949866956,-0.035270482274466435,0.1554195869653831,0.018589483275104457,-0.7737819130269484,-0.6267680754937616
0.17,0.20568527821333538,-0.09170325391361273,0.12716148024440435,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.18,0.19197292633244636,-0.14108192909786574,0.14835506028513842,0.015729562771242236,-0.7766201777239753,-0.6238680496962196
0.19,0.13712351880889026,-0.09875735036850601,0.11303242688391499,0.01286964226738001,-0.7766201777239753,-0.6267680754937616
0.2,0.13026734286844574,-0.09875735036850601,0.09890337352342561,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.21,0.18511675039200184,-0.09170325391361273,0.14129053360489374,0.015729562771242236,-0.7737819130269484,-0.6296681012913036
0.22,0.17826057445155732,-0.09170325391361273,0.1059679002036703,0.018589483275104457,-0.7737819130269484,-0.6267680754937616
0.23,0.23310998197511343,-0.035270482274466435,0.09890337352342561,0.018589483275104457,-0.7737819130269484,-0.6296681012913036
0.24,0.23996615791555795,-0.007054096454893286,0.08477432016293625,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.25,0.28795938949866956,-0.014108192909786573,0.07064526680244687,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.26,0.30167174137955854,-0.04232457872935972,0.1059679002036703,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.27,0.28110321355822504,-0.07759506100382615,0.12009695356415967,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.28,0.294815565439114,-0.07759506100382615,0.13422600692464906,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.29,0.33595262108178114,-0.11991963973318587,0.11303242688391499,0.018589483275104457,-0.7766201777239753,-0.6296681012913036
0.3,0.33595262108178114,-0.148136025552759,0.19780674704685122,0.018589483275104457,-0.7766201777239753,-0.6296681012913036
0.31,0.3153840932604476,-0.19751470073701202,0.17661316700611718,0.018589483275104457,-0.7766201777239753,-0.6296681012913036
0.32,0.3153840932604476,-0.16929831491743888,0.17661316700611718,0.018589483275104457,-0.7766201777239753,-0.6296681012913036
0.33,0.36337732484355917,-0.16929831491743888,0.18367769368636186,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.34,0.34966497296267013,-0.14108192909786574,0.14129053360489374,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.35,0.3222402692008921,-0.148136025552759,0.11303242688391499,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.36,0.39765820454578177,-0.12697373618807914,0.13422600692464906,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.37,0.39765820454578177,-0.11991963973318587,0.1554195869653831,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.38,0.33595262108178114,-0.14108192909786574,0.1695486403258725,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.39,0.34966497296267013,-0.09875735036850601,0.14129053360489374,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.4,0.3702335007840037,-0.11991963973318587,0.14835506028513842,0.018589483275104457,-0.7766201777239753,-0.6238680496962196
0.41,0.3222402692008921,-0.11286554327829258,0.12009695356415967,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.42,0.23310998197511343,-0.11286554327829258,0.11303242688391499,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.43,0.19882910227289088,-0.08464915745871944,0.12716148024440435,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.44,0.17826057445155732,-0.049378675184253006,0.08477432016293625,0.015729562771242236,-0.7766201777239753,-0.6238680496962196
0.45,0.19882910227289088,-0.06348686809403957,0.09890337352342561,0.015729562771242236,-0.7737819130269484,-0.6267680754937616
0.46,0.2605346857368915,-0.04232457872935972,0.1059679002036703,0.015729562771242236,-0.7766201777239753,-0.6296681012913036
0.47,0.294815565439114,-0.04232457872935972,0.07064526680244687,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.48,0.30852791732000306,-0.05643277163914629,0.08477432016293625,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.49,0.3222402692008921,-0.1058114468233993,0.11303242688391499,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.5,0.28110321355822504,-0.12697373618807914,0.14129053360489374,0.015729562771242236,-0.7794584424210022,-0.6296681012913036
0.51,0.2742470376177805,-0.148136025552759,0.11303242688391499,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.52,0.267390861677336,-0.1551901220076523,0.13422600692464906,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.53,0.28110321355822504,-0.1551901220076523,0.12716148024440435,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.54,0.34966497296267013,-0.16929831491743888,0.13422600692464906,0.018589483275104457,-0.7766201777239753,-0.6238680496962196
0.55,0.34966497296267013,-0.16224421846254558,0.1059679002036703,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
0.56,0.38394585266489273,-0.11286554327829258,0.11303242688391499,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.57,0.3702335007840037,-0.19751470073701202,0.09890337352342561,0.018589483275104457,-0.7766201777239753,-0.6296681012913036
0.58,0.3770896767244482,-0.13402783264297244,0.09183884684318093,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.59,0.35652114890311465,-0.1058114468233993,0.12009695356415967,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.6,0.38394585266489273,-0.08464915745871944,0.11303242688391499,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.61,0.34280879702222566,-0.09875735036850601,0.1059679002036703,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.62,0.33595262108178114,-0.11991963973318587,0.09183884684318093,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.63,0.3222402692008921,-0.11286554327829258,0.08477432016293625,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.64,0.34280879702222566,-0.049378675184253006,0.12716148024440435,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.65,0.294815565439114,-0.11991963973318587,0.13422600692464906,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.66,0.30852791732000306,-0.1058114468233993,0.1059679002036703,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.67,0.294815565439114,-0.09875735036850601,0.12009695356415967,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.68,0.30167174137955854,-0.148136025552759,0.14835506028513842,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.69,0.33595262108178114,-0.12697373618807914,0.1695486403258725,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.7,0.3770896767244482,-0.13402783264297244,0.14835506028513842,0.018589483275104457,-0.7766201777239753,-0.6267680754937616
0.71,0.39765820454578177,-0.148136025552759,0.1554195869653831,0.015729562771242236,-0.7766201777239753,-0.6267680754937616
