Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.0,0.028258106720978747,-0.2045687971919053,0.15083587068977927,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.01,-0.021193580040734062,-0.23983927946637174,0.10969881504711221,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.02,0.007064526680244687,-0.2680556652859449,0.07541793534488964,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.03,0.0,-0.148136025552759,0.08227411128533416,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.04,0.014129053360489374,-0.19751470073701202,0.10284263910666769,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.05,0.014129053360489374,-0.2045687971919053,0.10284263910666769,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.06,-0.028258106720978747,-0.2045687971919053,0.09598646316622318,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.07,0.014129053360489374,-0.16224421846254558,0.12341116692800123,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.08,0.007064526680244687,-0.2045687971919053,0.10284263910666769,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.09,-0.014129053360489374,-0.2045687971919053,0.08913028722577866,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.1,-0.014129053360489374,-0.2045687971919053,0.08913028722577866,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.11,0.021193580040734062,-0.2045687971919053,0.07541793534488964,-1.0445530419521538,-0.00993392643959402,-0.024309324282828906
0.12,0.007064526680244687,-0.23983927946637174,0.11655499098755671,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.13,-0.021193580040734062,-0.2045687971919053,0.09598646316622318,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.14,0.007064526680244687,-0.1551901220076523,0.10969881504711221,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.15,0.007064526680244687,-0.21867699010169186,0.09598646316622318,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.16,0.021193580040734062,-0.21867699010169186,0.11655499098755671,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.17,0.014129053360489374,-0.21867699010169186,0.08227411128533416,-1.0445530419521538,-0.00993392643959402,-0.024309324282828906
0.18,0.028258106720978747,-0.2821638581957315,0.06170558346400062,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.19,0.007064526680244687,-0.2539474723761583,0.10284263910666769,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.2,0.014129053360489374,-0.22573108655658516,0.08913028722577866,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.21,0.021193580040734062,-0.23278518301147844,0.04799323158311159,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.22,0.021193580040734062,-0.21867699010169186,0.09598646316622318,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.23,0.021193580040734062,-0.19751470073701202,0.10284263910666769,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.24,0.007064526680244687,-0.18340650782722545,0.06170558346400062,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.25,0.042387160081468124,-0.23983927946637174,0.08913028722577866,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.26,0.028258106720978747,-0.23278518301147844,0.10969881504711221,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.27,0.014129053360489374,-0.2116228936467986,0.09598646316622318,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.28,0.035322633401223436,-0.17635241137233215,0.08913028722577866,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.29,0.007064526680244687,-0.2751097617408382,0.10284263910666769,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.3,0.021193580040734062,-0.2045687971919053,0.10284263910666769,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.31,-0.014129053360489374,-0.22573108655658516,0.10969881504711221,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.32,0.035322633401223436,-0.22573108655658516,0.09598646316622318,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.33,0.007064526680244687,-0.2116228936467986,0.10969881504711221,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.34,0.028258106720978747,-0.17635241137233215,0.08913028722577866,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.35,0.007064526680244687,-0.22573108655658516,0.11655499098755671,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.36,-0.035322633401223436,-0.19046060428211872,0.11655499098755671,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.37,0.014129053360489374,-0.2751097617408382,0.07541793534488964,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.38,0.021193580040734062,-0.2045687971919053,0.10969881504711221,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.39,0.035322633401223436,-0.05643277163914629,0.36337732484355917,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.4,0.007064526680244687,0.07759506100382615,0.3222402692008921,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.41,-0.021193580040734062,0.21867699010169186,0.36337732484355917,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.42,-0.028258106720978747,-0.13402783264297244,0.23310998197511343,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.43,0.021193580040734062,-0.3033261475604113,0.22625380603466894,-1.0445530419521538,-0.00993392643959402,-0.024309324282828906
0.44,0.014129053360489374,-0.2821638581957315,0.15083587068977927,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.45,0.021193580040734062,-0.3033261475604113,0.12341116692800123,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.46,0.014129053360489374,-0.246893375921265,0.08227411128533416,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.47,0.014129053360489374,-0.22573108655658516,0.07541793534488964,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.48,0.035322633401223436,-0.2539474723761583,0.10284263910666769,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.49,-0.007064526680244687,-0.21867699010169186,0.08913028722577866,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.5,0.007064526680244687,-0.296272051105518,0.07541793534488964,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.51,0.035322633401223436,-0.2821638581957315,0.06856175940444513,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.52,0.028258106720978747,-0.2610015688310516,0.08227411128533416,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.53,0.014129053360489374,-0.21867699010169186,0.07541793534488964,-1.0387529903570698,-0.00993392643959402,-0.02716924478669113
0.54,0.014129053360489374,-0.2116228936467986,0.10284263910666769,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.55,0.035322633401223436,-0.13402783264297244,0.14397969474933478,-1.0416530161546118,-0.00993392643959402,-0.024309324282828906
0.56,0.007064526680244687,-0.13402783264297244,0.13712351880889026,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.57,0.0,-0.17635241137233215,0.08913028722577866,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.58,0.007064526680244687,-0.18340650782722545,0.13026734286844574,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
0.59,-0.014129053360489374,0.246893375921265,0.027424703761778052,-1.0416530161546118,-0.00993392643959402,-0.02716924478669113
0.6,-0.014129053360489374,-0.6137063915757159,0.0,-1.0387529903570698,-0.00993392643959402,-0.02144940377896668
0.61,0.056516213441957494,-1.7635241137233215,-0.07541793534488964,-1.0387529903570698,-0.00993392643959402,-0.02144940377896668
0.62,0.19780674704685122,-1.2979537477003646,-0.3770896767244482,-1.0474530677496958,-0.012772191136620882,-0.02144940377896668
0.63,0.07770979348269155,0.5361113305718898,-0.294815565439114,-1.035852964559528,-0.00993392643959402,-0.035749006298277805
0.64,0.042387160081468124,0.33154253337998446,-0.13712351880889026,-1.032952938761986,-0.00993392643959402,-0.02144940377896668
0.65,0.028258106720978747,0.09875735036850601,-0.034280879702222565,-1.0445530419521538,-0.00993392643959402,-0.024309324282828906
0.66,0.021193580040734062,0.06348686809403957,-0.04799323158311159,-1.0387529903570698,-0.00993392643959402,-0.024309324282828906
