Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.0,-0.15083587068977927,-0.2045687971919053,-0.028258106720978747,0.024309324282828906,-0.00993392643959402,1.0387529903570698
0.01,-0.10969881504711221,-0.23983927946637174,0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.02,-0.07541793534488964,-0.2680556652859449,-0.007064526680244687,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.03,-0.08227411128533416,-0.148136025552759,-0.0,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.04,-0.10284263910666769,-0.19751470073701202,-0.014129053360489374,0.024309324282828906,-0.00993392643959402,1.0387529903570698
0.05,-0.10284263910666769,-0.2045687971919053,-0.014129053360489374,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.06,-0.09598646316622318,-0.2045687971919053,0.028258106720978747,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.07,-0.12341116692800123,-0.16224421846254558,-0.014129053360489374,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.08,-0.10284263910666769,-0.2045687971919053,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.09,-0.08913028722577866,-0.2045687971919053,0.014129053360489374,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.1,-0.08913028722577866,-0.2045687971919053,0.014129053360489374,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.11,-0.07541793534488964,-0.2045687971919053,-0.021193580040734062,0.024309324282828906,-0.00993392643959402,1.0445530419521538
0.12,-0.11655499098755671,-0.23983927946637174,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.13,-0.09598646316622318,-0.2045687971919053,0.021193580040734062,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.14,-0.10969881504711221,-0.1551901220076523,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.15,-0.09598646316622318,-0.21867699010169186,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.16,-0.11655499098755671,-0.21867699010169186,-0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.17,-0.08227411128533416,-0.21867699010169186,-0.014129053360489374,0.024309324282828906,-0.00993392643959402,1.0445530419521538
0.18,-0.06170558346400062,-0.2821638581957315,-0.028258106720978747,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.19,-0.10284263910666769,-0.2539474723761583,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.2,-0.08913028722577866,-0.22573108655658516,-0.014129053360489374,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.21,-0.04799323158311159,-0.23278518301147844,-0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.22,-0.09598646316622318,-0.21867699010169186,-0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.23,-0.10284263910666769,-0.19751470073701202,-0.021193580040734062,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.24,-0.06170558346400062,-0.18340650782722545,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.25,-0.08913028722577866,-0.23983927946637174,-0.042387160081468124,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.26,-0.10969881504711221,-0.23278518301147844,-0.028258106720978747,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.27,-0.09598646316622318,-0.2116228936467986,-0.014129053360489374,0.024309324282828906,-0.00993392643959402,1.0387529903570698
0.28,-0.08913028722577866,-0.17635241137233215,-0.035322633401223436,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.29,-0.10284263910666769,-0.2751097617408382,-0.007064526680244687,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.3,-0.10284263910666769,-0.2045687971919053,-0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.31,-0.10969881504711221,-0.22573108655658516,0.014129053360489374,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.32,-0.09598646316622318,-0.22573108655658516,-0.035322633401223436,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.33,-0.10969881504711221,-0.2116228936467986,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.34,-0.08913028722577866,-0.17635241137233215,-0.028258106720978747,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.35,-0.11655499098755671,-0.22573108655658516,-0.007064526680244687,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.36,-0.11655499098755671,-0.19046060428211872,0.035322633401223436,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.37,-0.07541793534488964,-0.2751097617408382,-0.014129053360489374,0.024309324282828906,-0.00993392643959402,1.0387529903570698
0.38,-0.10969881504711221,-0.2045687971919053,-0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.39,-0.36337732484355917,-0.05643277163914629,-0.035322633401223436,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.4,-0.3222402692008921,0.07759506100382615,-0.007064526680244687,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.41,-0.36337732484355917,0.21867699010169186,0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0416530161546118
0.42,-0.23310998197511343,-0.13402783264297244,0.028258106720978747,0.024309324282828906,-0.00993392643959402,1.0387529903570698
0.43,-0.22625380603466894,-0.3033261475604113,-0.021193580040734062,0.024309324282828906,-0.00993392643959402,1.0445530419521538
0.44,-0.15083587068977927,-0.2821638581957315,-0.014129053360489374,0.024309324282828906,-0.00993392643959402,1.0416530161546118
0.45,-0.12341116692800123,-0.3033261475604113,-0.021193580040734062,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.46,-0.08227411128533416,-0.246893375921265,-0.014129053360489374,0.024309324282828906,-0.00993392643959402,1.0387529903570698
0.47,-0.07541793534488964,-0.22573108655658516,-0.014129053360489374,0.02716924478669113,-0.00993392643959402,1.0387529903570698
0.48,-0.10284263910666769,-0.2539474723761583,-0.035322633401223436,0.024309324282828906,-0.00993392643959402,1.0416530161546118
